,Player,Nation,Competition,Club,Age,Pos
0,André Onana,cm CMR,Premier League,Manchester United,27,GK
1,Bruno Fernandes,pt POR,Premier League,Manchester United,29,"MF,FW"
2,Diogo Dalot,pt POR,Premier League,Manchester United,24,DF
3,Marcus Rashford,eng ENG,Premier League,Manchester United,26,FW
4,Alejandro Garnacho,ar ARG,Premier League,Manchester United,19,FW
5,Rasmus Højlund,dk DEN,Premier League,Manchester United,20,FW
6,Scott McTominay,sct SCO,Premier League,Manchester United,27,MF
7,Antony,br BRA,Premier League,Manchester United,23,FW
8,Victor Lindelöf,se SWE,Premier League,Manchester United,29,DF
9,Aaron Wan-Bissaka,eng ENG,Premier League,Manchester United,26,DF
10,Jonny Evans,nir NIR,Premier League,Manchester United,36,DF
11,Christian Eriksen,dk DEN,Premier League,Manchester United,31,MF
12,Harry Maguire,eng ENG,Premier League,Manchester United,30,DF
13,Raphaël Varane,fr FRA,Premier League,Manchester United,30,DF
14,Luke Shaw,eng ENG,Premier League,Manchester United,28,DF
15,Casemiro,br BRA,Premier League,Manchester United,31,MF
16,Sofyan Amrabat,ma MAR,Premier League,Manchester United,27,"MF,DF"
17,Kobbie Mainoo,eng ENG,Premier League,Manchester United,18,MF
18,Anthony Martial,fr FRA,Premier League,Manchester United,28,FW
19,Lisandro Martínez,ar ARG,Premier League,Manchester United,26,DF
20,Sergio Reguilón,es ESP,Premier League,Manchester United,27,DF
21,Mason Mount,eng ENG,Premier League,Manchester United,25,MF
22,Facundo Pellistri,uy URU,Premier League,Manchester United,22,"FW,MF"
23,Hannibal Mejbri,tn TUN,Premier League,Manchester United,20,"MF,FW"
24,Willy Kambwala,fr FRA,Premier League,Manchester United,19,DF
25,Jadon Sancho,eng ENG,Premier League,Manchester United,23,"FW,MF"
26,Amad Diallo,ci CIV,Premier League,Manchester United,21,FW
27,Donny van de Beek,nl NED,Premier League,Manchester United,26,DF
28,Daniel Gore,eng ENG,Premier League,Manchester United,19,MF
29,Altay Bayındır,tr TUR,Premier League,Manchester United,25,GK
30,Rhys Bennett,eng ENG,Premier League,Manchester United,20,DF
31,Álvaro Carreras,es ESP,Premier League,Manchester United,20,"DF,MF"
32,Omari Forson,eng ENG,Premier League,Manchester United,19,MF
33,Tom Heaton,eng ENG,Premier League,Manchester United,37,GK
34,Dean Henderson,eng ENG,Premier League,Manchester United,26,GK
35,Joe Hugill,eng ENG,Premier League,Manchester United,20,FW
36,Radek Vítek,N/I,Premier League,Manchester United,20,GK
37,Ethan Pinnock,jm JAM,Premier League,Brentford,30,DF
38,Vitaly Janelt,de GER,Premier League,Brentford,25,"MF,DF"
39,Mark Flekken,nl NED,Premier League,Brentford,30,GK
40,Christian Nørgaard,dk DEN,Premier League,Brentford,29,MF
41,Yoane Wissa,cd COD,Premier League,Brentford,27,FW
42,Bryan Mbeumo,cm CMR,Premier League,Brentford,24,FW
43,Nathan Collins,ie IRL,Premier League,Brentford,22,DF
44,Mathias Jensen,dk DEN,Premier League,Brentford,28,MF
45,Aaron Hickey,sct SCO,Premier League,Brentford,21,DF
46,Mads Roerslev,dk DEN,Premier League,Brentford,24,DF
47,Kristoffer Ajer,no NOR,Premier League,Brentford,25,DF
48,Ben Mee,eng ENG,Premier League,Brentford,34,DF
49,Saman Ghoddos,ir IRN,Premier League,Brentford,30,DF
50,Frank Onyeka,ng NGA,Premier League,Brentford,26,MF
51,Neal Maupay,fr FRA,Premier League,Brentford,27,FW
52,Keane Lewis-Potter,eng ENG,Premier League,Brentford,22,"FW,MF"
53,Rico Henry,eng ENG,Premier League,Brentford,26,DF
54,Yehor Yarmoliuk,ua UKR,Premier League,Brentford,19,MF
55,Kevin Schade,de GER,Premier League,Brentford,22,"FW,MF"
56,Shandon Baptiste,gd GRN,Premier League,Brentford,25,MF
57,Mathias Jørgensen,dk DEN,Premier League,Brentford,33,DF
58,Mikkel Damsgaard,dk DEN,Premier League,Brentford,23,MF
59,Thomas Strakosha,al ALB,Premier League,Brentford,28,GK
60,Michael Olakigbe,eng ENG,Premier League,Brentford,19,"DF,FW"
61,Myles Peart-Harris,eng ENG,Premier League,Brentford,21,"DF,MF"
